createDate,hum,snd,temp,light,Occupancy
2023-04-19 00:00:12.055563+0800,53,0,25,6,0
2023-04-19 00:00:42.710555+0800,53,0,25,6,0
2023-04-19 00:01:13.467722+0800,53,0,25,6,0
2023-04-19 00:01:44.117061+0800,53,0,25,6,0
2023-04-19 00:02:14.945511+0800,53,0,25,6,0
2023-04-19 00:02:45.453769+0800,53,0,25,6,0
2023-04-19 00:03:16.173906+0800,53,0,25,6,0
2023-04-19 00:03:46.833781+0800,53,0,25,6,0
2023-04-19 00:04:18.072410+0800,53,0,25,6,0
2023-04-19 00:04:48.282452+0800,53,0,25,6,0
2023-04-19 00:05:19.069380+0800,53,0,25,6,0
2023-04-19 00:05:49.627602+0800,53,0,25,6,0
2023-04-19 00:06:20.288981+0800,53,0,25,6,0
2023-04-19 00:06:51.001404+0800,53,0,25,6,0
2023-04-19 00:07:21.668972+0800,53,0,25,6,0
2023-04-19 00:07:52.359920+0800,53,0,25,6,0
2023-04-19 00:08:23.077794+0800,53,0,25,6,0
2023-04-19 00:08:53.777402+0800,53,0,25,6,0
2023-04-19 00:09:24.469021+0800,53,0,25,6,0
2023-04-19 00:09:55.140195+0800,53,0,25,6,0
2023-04-19 00:10:25.817003+0800,53,0,25,6,0
2023-04-19 00:10:56.685005+0800,53,0,25,6,0
2023-04-19 00:11:27.227380+0800,53,0,25,6,0
2023-04-19 00:11:57.918533+0800,53,0,25,6,0
2023-04-19 00:12:28.580311+0800,53,0,25,6,0
2023-04-19 00:12:59.264076+0800,53,0,25,6,0
2023-04-19 00:13:29.971003+0800,53,0,25,6,0
2023-04-19 00:14:00.655076+0800,53,0,25,6,0
2023-04-19 00:14:31.343159+0800,53,0,25,6,0
2023-04-19 00:15:02.052132+0800,53,0,25,6,0
2023-04-19 00:15:33.095189+0800,53,0,25,6,0
2023-04-19 00:16:03.405746+0800,53,0,25,6,0
2023-04-19 00:16:34.134066+0800,53,0,25,6,0
2023-04-19 00:17:04.792980+0800,53,0,25,6,0
2023-04-19 00:17:35.460439+0800,53,0,25,6,0
2023-04-19 00:18:06.163268+0800,53,0,25,6,0
2023-04-19 00:18:36.833823+0800,53,0,25,6,0
2023-04-19 00:19:08.208606+0800,53,0,25,6,0
2023-04-19 00:19:38.398624+0800,53,0,25,6,0
2023-04-19 00:20:08.995484+0800,53,0,25,6,0
2023-04-19 00:20:39.985735+0800,53,0,25,6,0
2023-04-19 00:21:10.475389+0800,53,0,25,6,0
2023-04-19 00:21:41.125476+0800,53,0,25,6,0
2023-04-19 00:22:11.730187+0800,53,0,25,6,0
2023-04-19 00:22:42.502231+0800,53,0,25,6,0
2023-04-19 00:23:13.055628+0800,53,0,25,6,0
2023-04-19 00:23:43.764916+0800,53,0,25,6,0
2023-04-19 00:24:14.769253+0800,53,0,25,6,0
2023-04-19 00:24:45.138730+0800,53,0,25,6,0
2023-04-19 00:25:15.875744+0800,53,0,25,6,0
2023-04-19 00:25:46.563509+0800,53,0,25,6,0
2023-04-19 00:26:17.192477+0800,53,0,25,6,0
2023-04-19 00:26:47.980332+0800,53,0,25,6,0
2023-04-19 00:27:18.601384+0800,53,0,25,6,0
2023-04-19 00:27:49.289550+0800,53,0,25,6,0
